clean_text,clean_text_baseline,is_ambiguous
ii Through a request by the individual to initiate or to be referred for the treatment counseling or therapy described in paragraph j2i of this section.,ii through a request by the individual to initiate or to be referred for the treatment counseling or therapy described in paragraph j2i of this section,0
Qualifying CAH means a CAH that would meet the definition of a meaningful EHR user at 495.4 if it were an eligible hospital.,qualifying cah means a cah that would meet the definition of a meaningful ehr user at 4954 if it were an eligible hospital,1
The Secretary adopts the following code sets terminology and nomenclature as the vocabulary standards for the purpose of representing electronic health information,the secretary adopts the following code sets terminology and nomenclature as the vocabulary standards for the purpose of representing electronic health information,0
v Required signature.,v required signature,0
Defect reports will be available to technical units on a 24 by 7 basis.,defect reports will be available to technical units on a 24 by 7 basis,0
3 A covered entity may be a business associate of another covered entity.,3 a covered entity may be a business associate of another covered entity,1
B Establish who is permitted to use or receive the limited data set and,b establish who is permitted to use or receive the limited data set and,1
o Post back Universal Resource Locators URLs shall not contain unencrypted record identifiers or database keys,o post back universal resource locators urls shall not contain unencrypted record identifiers or database keys,0
d State disbursement.,d state disbursement,0
The solution should provide the ability to modify the established criteria that trigger the alerts.,the solution should provide the ability to modify the established criteria that trigger the alerts,1
The solution should display the timing route of administration and dose of all medications on the list.,the solution should display the timing route of administration and dose of all medications on the list,1
They must be accessible from within the patient's chart and labeled and date-time stamped or included in a patient encounter document.,they must be accessible from within the patients chart and labeled and datetime stamped or included in a patient encounter document,0
2 Dental health care claims.,2 dental health care claims,0
Percentage of office visits for which satisfaction information is available.,percentage of office visits for which satisfaction information is available,0
The Support for Context-Sensitive Care Plans Guidelines Protocols capability should conform to DC 2.1.2 Support for Patient Context-Driven Assessments.,the support for contextsensitive care plans guidelines protocols capability should conform to dc 212 support for patient contextdriven assessments,1
A The authorization sought is for the health plan's eligibility or enrollment determinations relating to the individual or for its underwriting or risk rating determinations and,a the authorization sought is for the health plans eligibility or enrollment determinations relating to the individual or for its underwriting or risk rating determinations and,0
If an implementation specification is addressable the word Addressable appears in parentheses after the title of the implementation specification.,if an implementation specification is addressable the word addressable appears in parentheses after the title of the implementation specification,0
Click 'Back' to return to the Patient Summary page.,click back to return to the patient summary page,0
He or she can select a patient and then enter data.,he or she can select a patient and then enter data,1
1 The respondent and,1 the respondent and,0
A Describe those employees or classes of employees or other persons under the control of the plan sponsor to be given access to the protected health information to be disclosed provided that any employee or person who receives protected health information relating to payment under health care operations of or other matters pertaining to the group health plan in the ordinary course of business must be included in such description,a describe those employees or classes of employees or other persons under the control of the plan sponsor to be given access to the protected health information to be disclosed provided that any employee or person who receives protected health information relating to payment under health care operations of or other matters pertaining to the group health plan in the ordinary course of business must be included in such description,1
A covered entity must provide a process for individuals to make complaints concerning the covered entity's policies and procedures required by this subpart or its compliance with such policies and procedures or the requirements of this subpart.,a covered entity must provide a process for individuals to make complaints concerning the covered entitys policies and procedures required by this subpart or its compliance with such policies and procedures or the requirements of this subpart,0
2 Upon receipt of an ONC-ACB's response to a proposed revocation notice the National Coordinator is permitted up to 30 days to review the information submitted by the ONC-ACB and reach a decision.,2 upon receipt of an oncacbs response to a proposed revocation notice the national coordinator is permitted up to 30 days to review the information submitted by the oncacb and reach a decision,0
Each States HIT IAPD must contain the following,each states hit iapd must contain the following,0
A UAP can select to report physiologic measurements.,a uap can select to report physiologic measurements,1
The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,the disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications,0
Disclosure means the release transfer provision of access to or divulging in any other manner of information outside the entity holding the information.,disclosure means the release transfer provision of access to or divulging in any other manner of information outside the entity holding the information,0
A code set includes the codes and the descriptors of the codes.,a code set includes the codes and the descriptors of the codes,0
The solution should provide the ability to document that a provider was presented with and acknowledged a drug interaction warning.,the solution should provide the ability to document that a provider was presented with and acknowledged a drug interaction warning,1
CCHCS Technical Infrastructure,cchcs technical infrastructure,0
The Secretary adopts the code sets terminology and nomenclature as the vocabulary standard Laboratory test results.,the secretary adopts the code sets terminology and nomenclature as the vocabulary standard laboratory test results,0
Street Address,street address,0
Before you begin scheduling appointments you'll want to configure some basic information for your users.,before you begin scheduling appointments youll want to configure some basic information for your users,1
The system has the ability to create rules for specific tests and alert routing to the testing personnel of additional testing or confirmation of abnormal results.,the system has the ability to create rules for specific tests and alert routing to the testing personnel of additional testing or confirmation of abnormal results,0
495.104 Incentive payments to eligible hospitals.,495104 incentive payments to eligible hospitals,0
f Standard Mitigation.,f standard mitigation,0
a A party may make a request to another party for production of documents for inspection and copying that are relevant and material to the issues before the ALJ.,a a party may make a request to another party for production of documents for inspection and copying that are relevant and material to the issues before the alj,1
4 The respondent's hearing request fails to raise any issue that may properly be addressed in a hearing.,4 the respondents hearing request fails to raise any issue that may properly be addressed in a hearing,1
"The system has the ability to support the tracking of the following,0,0,0 LACountyEHRRequirements - parsed.json576,1 Tracking of Mammography Screening and Diagnostic exams with attachment of ACR BI-RADS coding please include how the system meets the MWSA Mammography Quality Standards Act,0,0,0 LACountyEHRRequirements - parsed.json577,2 Patient Letters for Mammography exams,0,0,0 LACountyEHRRequirements - parsed.json578,3 Patient Notifications Patient Reminders,0,0,0 LACountyEHRRequirements - parsed.json579,4 Patient Warnings Physician Survey,0,0,0 LACountyEHRRequirements - parsed.json580,5 Physician Reminder Physician Warning",the system has the ability to support the tracking of the following000 lacountyehrrequirements parsedjson5761 tracking of mammography screening and diagnostic exams with attachment of acr birads coding please include how the system meets the mwsa mammography quality standards act000 lacountyehrrequirements parsedjson5772 patient letters for mammography exams000 lacountyehrrequirements parsedjson5783 patient notifications patient reminders000 lacountyehrrequirements parsedjson5794 patient warnings physician survey000 lacountyehrrequirements parsedjson5805 physician reminder physician warning,0
The solution should allow the rejection of medication ordering possibly and possibly dispensing based upon out-of-range lab data.,the solution should allow the rejection of medication ordering possibly and possibly dispensing based upon outofrange lab data,1
A covered entity may deny an individual access without providing the individual an opportunity for review in the following circumstances.,a covered entity may deny an individual access without providing the individual an opportunity for review in the following circumstances,1
When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,when the offensive player takes a shot the product shall simulate the sound of a ship at sea,0
The solution should provide the ability to use a terminology service internal or external to the EMR.,the solution should provide the ability to use a terminology service internal or external to the emr,1
Make sure to enter the correct duration for the appointment and click 'Save'.,make sure to enter the correct duration for the appointment and click save,0
Requirement Statement,requirement statement,0
i In accordance with the standard specified at 170.204b and the implementation specifications at 170.204b1 or 2 and,i in accordance with the standard specified at 170204b and the implementation specifications at 170204b1 or 2 and,0
The system has capability to send a scheduling confirmation to the requesting system.,the system has capability to send a scheduling confirmation to the requesting system,0
Any source vocabulary that is included in RxNorm a standardized nomenclature for clinical drugs produced by the United States National Library of Medicine.,any source vocabulary that is included in rxnorm a standardized nomenclature for clinical drugs produced by the united states national library of medicine,0
The product shall provide Portals.,the product shall provide portals,0
2 Specifications for the proposed modification.,2 specifications for the proposed modification,0
160.400 Applicability.,160400 applicability,0
The solution should provide the ability to maintain order set templates including version control.,the solution should provide the ability to maintain order set templates including version control,1
6 A description of how each State will promote the use of data and technical standards to enhance data consistency and data sharing through common data-access mechanisms.,6 a description of how each state will promote the use of data and technical standards to enhance data consistency and data sharing through common dataaccess mechanisms,0
Source IP address source terminal identity or some type of unique source identifier,source ip address source terminal identity or some type of unique source identifier,1
The symbol for example indicates that the patient has arrived at the clinic and is ready to begin their appointment.,the symbol for example indicates that the patient has arrived at the clinic and is ready to begin their appointment,0
K Certificate or license numbers,k certificate or license numbers,0
162.605 Standard unique employer identifier.,162605 standard unique employer identifier,0
i For hospitals whose first payment year is FY 2011,i for hospitals whose first payment year is fy 2011,0
C The research could not practicably be conducted without access to and use of the protected health information.,c the research could not practicably be conducted without access to and use of the protected health information,1
Smoking status types must include current every day smoker current some day smoker former smoker never smoker smoker current status unknown and unknown if ever smoked.,smoking status types must include current every day smoker current some day smoker former smoker never smoker smoker current status unknown and unknown if ever smoked,1
Any eligible hospital or CAH that has no requests from patients or their agents for an electronic copy of the discharge instructions during the EHR reporting period.,any eligible hospital or cah that has no requests from patients or their agents for an electronic copy of the discharge instructions during the ehr reporting period,0
a An inquiry to determine the status of a health care claim.,a an inquiry to determine the status of a health care claim,0
5 Have a process in place to assure that Medicaid providers who wish to participate in the EHR incentive payment program has or will have a NPI and will choose only one program from which to receive the incentive payment using the NPI a TIN and CMS national provider election database.,5 have a process in place to assure that medicaid providers who wish to participate in the ehr incentive payment program has or will have a npi and will choose only one program from which to receive the incentive payment using the npi a tin and cms national provider election database,0
4 Detailed information including education and experience about the key personnel who review organizations for accreditation and,4 detailed information including education and experience about the key personnel who review organizations for accreditation and,0
a CMS conducts periodic reviews on an as needed basis to assess the States progress described in its approved HIT planning advance planning document and health information technology implementation advance planning document.,a cms conducts periodic reviews on an as needed basis to assess the states progress described in its approved hit planning advance planning document and health information technology implementation advance planning document,1
ii Customization.,ii customization,0
The system shall provide the ability to display information which has been inactivated or removed from the allergy and adverse reaction list.,the system shall provide the ability to display information which has been inactivated or removed from the allergy and adverse reaction list,1
After a message is sent the patient or personal representative is directed to his or her message outbox.,after a message is sent the patient or personal representative is directed to his or her message outbox,1
160.103 Definitions.,160103 definitions,0
h Clinical summaries.,h clinical summaries,0
495.100 Definitions.,495100 definitions,0
Any encryption algorithm identified by the National Institute of Standards and Technology NIST as an approved security function in Annex A of the Federal Information Processing Standards FIPS Publication 140-2 January 27 2010 incorporated by reference in 170.299.,any encryption algorithm identified by the national institute of standards and technology nist as an approved security function in annex a of the federal information processing standards fips publication 1402 january 27 2010 incorporated by reference in 170299,0
i Management activities relating to implementation of and compliance with the requirements of this subchapter,i management activities relating to implementation of and compliance with the requirements of this subchapter,0
ii Customer service including the provision of data analyses for policy holders plan sponsors or other customers provided that protected health information is not disclosed to such policy holder plan sponsor or customer.,ii customer service including the provision of data analyses for policy holders plan sponsors or other customers provided that protected health information is not disclosed to such policy holder plan sponsor or customer,1
The solution should present captured documentation.,the solution should present captured documentation,1
Hospital-based EP is an EP as defined under this section who furnishes 90 percent or more of his or her covered professional services in a hospital setting in the year preceding the payment year.,hospitalbased ep is an ep as defined under this section who furnishes 90 percent or more of his or her covered professional services in a hospital setting in the year preceding the payment year,0
The solution should provide the option to use bar code readers for inventory management functions.,the solution should provide the option to use bar code readers for inventory management functions,1
c Each qualifying MA organization must ensure that all potentially qualifying MA EPs are enumerated through the NPI system and that other identifying information required under 495.202b is provided to CMS.,c each qualifying ma organization must ensure that all potentially qualifying ma eps are enumerated through the npi system and that other identifying information required under 495202b is provided to cms,1
3.2.12.4 Alternate Flows.,32124 alternate flows,0
i A covered entity must identify,i a covered entity must identify,0
iv For purposes of serving a compelling need related to public health safety or welfare and if a standard requirement or implementation specification under part 164 of this subchapter is at issue if the Secretary determines that the intrusion into privacy is warranted when balanced against the need to be served or,iv for purposes of serving a compelling need related to public health safety or welfare and if a standard requirement or implementation specification under part 164 of this subchapter is at issue if the secretary determines that the intrusion into privacy is warranted when balanced against the need to be served or,1
The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,the product shall support transparent resource addition and dynamic change support to provide scalability and avoid service interruptions of more than 1 day,0
There shall be role separation between system or server administrators and application or database administrators using the principle of least privilege.,there shall be role separation between system or server administrators and application or database administrators using the principle of least privilege,0
For administrative activities performed by a State without obtaining prior approval which are in support of planning for incentive payments to providers a State may request consideration of FFP by recorded request in a HIT advance planning document or implementation advance planning document update.,for administrative activities performed by a state without obtaining prior approval which are in support of planning for incentive payments to providers a state may request consideration of ffp by recorded request in a hit advance planning document or implementation advance planning document update,1
Program Administrators or Nursing Staff Members are the only people who shall have access to clinical site details.,program administrators or nursing staff members are the only people who shall have access to clinical site details,0
Once the date range is selected the LHCP can see the patient name patient phone number personal representative name and phone number if applicable and the blood pressure glucose levels height weight and pedometer readings as well as whom reported the data patient UAP name personal representative name for that date range.,once the date range is selected the lhcp can see the patient name patient phone number personal representative name and phone number if applicable and the blood pressure glucose levels height weight and pedometer readings as well as whom reported the data patient uap name personal representative name for that date range,1
The system has the capability for automatic problem generation based on diagnoses in medical record.,the system has the capability for automatic problem generation based on diagnoses in medical record,0
o The security administrators for the system,o the security administrators for the system,0
ii Reporting clinical quality information.,ii reporting clinical quality information,0
An HCP can view a previously created lab procedure for a given office visit.,an hcp can view a previously created lab procedure for a given office visit,1
The Operations Management Communication capabilities should conform to the IN 1.6 Secure Data Exchange requirements when solution data exchanges cross entity boundaries within the EMR or external to the EMR to ensure that the data are protected.,the operations management communication capabilities should conform to the in 16 secure data exchange requirements when solution data exchanges cross entity boundaries within the emr or external to the emr to ensure that the data are protected,1
a General rule.,a general rule,0
i At a minimum the version of the standard specified in 170.207a3 or,i at a minimum the version of the standard specified in 170207a3 or,1
A covered entity may not condition the provision to an individual of treatment payment enrollment in the health plan or eligibility for benefits on the provision of an authorization except,a covered entity may not condition the provision to an individual of treatment payment enrollment in the health plan or eligibility for benefits on the provision of an authorization except,1
i The standard specified in 170.205b2 and,i the standard specified in 170205b2 and,0
The user can choose any diagnosis code and type in the desired patient zip code and a start and end date .,the user can choose any diagnosis code and type in the desired patient zip code and a start and end date,1
B The estimated total amount of the eligible hospitals charges during such period not including any charges that are attributable to charity care divided by the estimated total amount of the hospitals charges during such period.,b the estimated total amount of the eligible hospitals charges during such period not including any charges that are attributable to charity care divided by the estimated total amount of the hospitals charges during such period,0
495.368 Combating fraud and abuse.,495368 combating fraud and abuse,0
f1 Standard Requirements for group health plans.,f1 standard requirements for group health plans,0
The product shall ensure that only company employees or external users with company-approved user IDs may have product access.,the product shall ensure that only company employees or external users with companyapproved user ids may have product access,1
The system shall provide the ability to maintain other dates associated with medications including start modify renewal and end dates as applicable.,the system shall provide the ability to maintain other dates associated with medications including start modify renewal and end dates as applicable,0
2 Is administered by an entity other than the employer that established and maintains the plan.,2 is administered by an entity other than the employer that established and maintains the plan,0
2 An ONC-AA's status will expire not later than 3 years from the date its status was granted by the National Coordinator.,2 an oncaas status will expire not later than 3 years from the date its status was granted by the national coordinator,0
162.1501 Enrollment and disenrollment in a health plan transaction.,1621501 enrollment and disenrollment in a health plan transaction,0
The Patient Family Care Giver Education capability should conform to the IN 1.4 Patient Access Management requirements.,the patient family care giver education capability should conform to the in 14 patient access management requirements,1
ii Requirements which the bidder or offer must fulfill and all other factors to be used in evaluating bids or proposals.,ii requirements which the bidder or offer must fulfill and all other factors to be used in evaluating bids or proposals,1
The system shall be able to support time synchronization using NTP or SNTP and use this synchronized time in all security records of time.,the system shall be able to support time synchronization using ntp or sntp and use this synchronized time in all security records of time,0
4 Institutional health care claims.,4 institutional health care claims,0
The Support for Medication Recommendations capability should conform to function DC 2.3.1.2 Support for Patient-Specific Dosing and Warnings requirements.,the support for medication recommendations capability should conform to function dc 2312 support for patientspecific dosing and warnings requirements,1
The system shall provide the ability to record that patient specific instructions or educational material were provided to the patient.,the system shall provide the ability to record that patient specific instructions or educational material were provided to the patient,1
v Exception for Medicaid eligible hospitals.,v exception for medicaid eligible hospitals,0
3 Final decision.,3 final decision,0
The system has capability to allow the recording of an infants gestational age including age at the time of birth.,the system has capability to allow the recording of an infants gestational age including age at the time of birth,0
A user a patient patient representative or LHCP can sort messages in his or her message inbox by either the sender's last name or timestamp but not both in either ascending or descending order where timestamps in descending order would have the most recent first.,a user a patient patient representative or lhcp can sort messages in his or her message inbox by either the senders last name or timestamp but not both in either ascending or descending order where timestamps in descending order would have the most recent first,1
For each turn the product shall identify one player as offensive status and one player as defensive status.,for each turn the product shall identify one player as offensive status and one player as defensive status,0
Depending on your system's configuration you may be asked to save the file or it may be printed automatically.,depending on your systems configuration you may be asked to save the file or it may be printed automatically,1
The solution should prohibit or prevent download of EPHI onto remote solutions or devices without an operational justification.,the solution should prohibit or prevent download of ephi onto remote solutions or devices without an operational justification,1
A message of the removal is sent to the adverse event reporter and to the LHCP involved in the report because the LHCP prescribed the drug or administered the immunization.,a message of the removal is sent to the adverse event reporter and to the lhcp involved in the report because the lhcp prescribed the drug or administered the immunization,0
The Support Clinical Communication capabilities should conform to IN.3 Registry and Directory Services requirements.,the support clinical communication capabilities should conform to in3 registry and directory services requirements,1
The solution should receive and store general laboratory results including the ability to differentiate preliminary results and final results and the ability to process a corrected result using the HL7 v.2.5.1 ORU message standard.,the solution should receive and store general laboratory results including the ability to differentiate preliminary results and final results and the ability to process a corrected result using the hl7 v251 oru message standard,1
There are 45 Use Cases for the system as indicated by the attached diagram,there are 45 use cases for the system as indicated by the attached diagram,0
e For purposes of this section the following rules apply,e for purposes of this section the following rules apply,0
Integrity means the property that data or information have not been altered or destroyed in an unauthorized manner.,integrity means the property that data or information have not been altered or destroyed in an unauthorized manner,1
B The covered entity may comply with paragraph e of this section if other law including regulations adopted by the covered entity or its business associate contains requirements applicable to the business associate that accomplish the objectives of paragraph e2 of this section.,b the covered entity may comply with paragraph e of this section if other law including regulations adopted by the covered entity or its business associate contains requirements applicable to the business associate that accomplish the objectives of paragraph e2 of this section,1
Electronic media means,electronic media means,0
This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process.,this will allow the disputes application to request letters as part of the dispute initiation and dispute follow up process,0
A covered entity may use or disclose protected health information for research regardless of the source of funding of the research provided that,a covered entity may use or disclose protected health information for research regardless of the source of funding of the research provided that,1
iii Cognitive status,iii cognitive status,0
iii Payments after the first payment year may continue for a maximum of 5 years.,iii payments after the first payment year may continue for a maximum of 5 years,1
The Secretary adopts the following standards for the referral certification and authorization transaction,the secretary adopts the following standards for the referral certification and authorization transaction,0
Subpart OEnrollment and Disenrollment in a Health Plan,subpart oenrollment and disenrollment in a health plan,0
495.102 Incentive payments to EPs.,495102 incentive payments to eps,0
95 of the product look feel will be approved by the Architecture group prior to implementation.,95 of the product look feel will be approved by the architecture group prior to implementation,0
On this page is displayed recommendations of how to configure your phpDOTini config file.,on this page is displayed recommendations of how to configure your phpdotini config file,1
B Enable preferred language to be recorded in accordance with the standard specified in 170.207g and whether a patient declines to specify a preferred language.,b enable preferred language to be recorded in accordance with the standard specified in 170207g and whether a patient declines to specify a preferred language,1
3.2.35.4 Alternate Flows.,32354 alternate flows,0
1 The Secretary may not impose a civil money penalty,1 the secretary may not impose a civil money penalty,1
ii Diagnosis.,ii diagnosis,0
The solution should securely relate interventions to be administered to the unique identity of the patient.,the solution should securely relate interventions to be administered to the unique identity of the patient,1
The system has the capability to create algorithm charts for common situations and procedures.,the system has the capability to create algorithm charts for common situations and procedures,0
Use CPOE for medication orders directly entered by any licensed healthcare professional who can enter orders into the medical record per State local and professional guidelines.,use cpoe for medication orders directly entered by any licensed healthcare professional who can enter orders into the medical record per state local and professional guidelines,1
The Clinical Decision Support capability should conform to function IN.4.3 Terminology Mapping requirements.,the clinical decision support capability should conform to function in43 terminology mapping requirements,1
b The respondent may request a hearing before an ALJ on the proposed penalty by filing a request in accordance with 160.504 of this part.,b the respondent may request a hearing before an alj on the proposed penalty by filing a request in accordance with 160504 of this part,1
Audit Trails and Logging,audit trails and logging,0
Import from an external solution,import from an external solution,0
4 Demographics and,4 demographics and,0
The solution should provide the ability to extract data for research purposes.,the solution should provide the ability to extract data for research purposes,1
The system shall scan and store imaged documents and electronic files.,the system shall scan and store imaged documents and electronic files,0
Upon sending a referral the patient sending HCP and receiving HCP receive a message summarizing the newly created referral information sending HCP name specialty receiving HCP name specialty patient name referral notes and referral creation timestamp additionally the sending and receiving HCP messages include the referral priority.,upon sending a referral the patient sending hcp and receiving hcp receive a message summarizing the newly created referral information sending hcp name specialty receiving hcp name specialty patient name referral notes and referral creation timestamp additionally the sending and receiving hcp messages include the referral priority,0
7 The ASC X12N 278Health Care Services ReviewRequest for Review and Response Version 4010 May 2000 Washington Publishing Company 004010X094 and Addenda to Health Care Services ReviewRequest for Review and Response Version 4010 October 2002 Washington Publishing Company 004010X094A1 as referenced in 162.1302.,7 the asc x12n 278health care services reviewrequest for review and response version 4010 may 2000 washington publishing company 004010x094 and addenda to health care services reviewrequest for review and response version 4010 october 2002 washington publishing company 004010x094a1 as referenced in 1621302,1
The system has the capability to route reports to designated supervisors and medical records.,the system has the capability to route reports to designated supervisors and medical records,0
1 The revocation of an ONC-ACB is effective as soon as the ONC-ACB receives the revocation notice.,1 the revocation of an oncacb is effective as soon as the oncacb receives the revocation notice,0
2 Inpatient setting only.,2 inpatient setting only,0
Remote certification means the use of methods including the use of web-based tools or secured electronic transmissions that do not require an ONC-ACB to be physically present at the development or deployment site to conduct certification.,remote certification means the use of methods including the use of webbased tools or secured electronic transmissions that do not require an oncacb to be physically present at the development or deployment site to conduct certification,0
6 Medication list.,6 medication list,0
The Proposer shall provide the facility required to host the computing and network environment including appropriate physical security required third-party software and 24 by 7 staff support and monitoring environmental conditions e.g. HVAC port fire detection suppression moisture humidity and temperature.,the proposer shall provide the facility required to host the computing and network environment including appropriate physical security required thirdparty software and 24 by 7 staff support and monitoring environmental conditions eg hvac port fire detection suppression moisture humidity and temperature,1
A 1 or 2 for FY 2015 and,a 1 or 2 for fy 2015 and,0
The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,the system shall display data from the sync matrix 10 and exercise management tool 10 applications,0
The Care and Treatment Plans Guidelines and Protocols capability should conform to function IN.2.2 Auditable Records.,the care and treatment plans guidelines and protocols capability should conform to function in22 auditable records,1
Synchronization with Applications or Devices Used in Offline Mode,synchronization with applications or devices used in offline mode,0
B Such change is effective only with respect to protected health information created or received after the effective date of the notice.,b such change is effective only with respect to protected health information created or received after the effective date of the notice,0
ii Except as permitted by paragraph f2i of this section the covered entity may not disclose for the purposes of identification or location under paragraph f2 of this section any protected health information related to the individual's DNA or DNA analysis dental records or typing samples or analysis of body fluids or tissue.,ii except as permitted by paragraph f2i of this section the covered entity may not disclose for the purposes of identification or location under paragraph f2 of this section any protected health information related to the individuals dna or dna analysis dental records or typing samples or analysis of body fluids or tissue,1
HL7 Version 3 Standard Clinical Genomics Pedigree incorporated by reference in 170.299.,hl7 version 3 standard clinical genomics pedigree incorporated by reference in 170299,0
Health information means any information whether oral or recorded in any form or medium that,health information means any information whether oral or recorded in any form or medium that,0
3 A party may file a motion for reconsideration with the Board before the date the decision becomes final under paragraph j1 of this section.,3 a party may file a motion for reconsideration with the board before the date the decision becomes final under paragraph j1 of this section,1
Subpart MReferral Certification and Authorization,subpart mreferral certification and authorization,0
6i Objective.,6i objective,0
Health care includes but is not limited to the following,health care includes but is not limited to the following,0
When cryptography is required and employed within the information solution the organization should establish and manage cryptographic keys using automated or manual mechanisms that have clearly defined and appropriately documented supporting procedures.,when cryptography is required and employed within the information solution the organization should establish and manage cryptographic keys using automated or manual mechanisms that have clearly defined and appropriately documented supporting procedures,1
It should be possible to assign access rights to all subsystems independently.,it should be possible to assign access rights to all subsystems independently,1
Patient notes store patient information that is unrelated to the patient's medical condition.,patient notes store patient information that is unrelated to the patients medical condition,1
The patient to whom the medication is to be administered matches the medication to be administered.,the patient to whom the medication is to be administered matches the medication to be administered,1
The solution should provide the ability to compare documented data against standardized curves and display trends.,the solution should provide the ability to compare documented data against standardized curves and display trends,1
The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators or Nursing Staff Members planning purposes.,the system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for program administrators or nursing staff members planning purposes,0
The proposer shall provide all services needed to transform standardize migrate and load external legacy electronic data in order to establish an initial database suitable for live organization operations.,the proposer shall provide all services needed to transform standardize migrate and load external legacy electronic data in order to establish an initial database suitable for live organization operations,1
Uploading Documents.,uploading documents,0
HL7 Standard Code Set CVXVaccines Administered July 30 2009 version incorporated by reference in 170.299.,hl7 standard code set cvxvaccines administered july 30 2009 version incorporated by reference in 170299,0
If want to give access to the patient portals over the internet then consider using a client-sided certificate to only allow users access to the main OpenEMR login page,if want to give access to the patient portals over the internet then consider using a clientsided certificate to only allow users access to the main openemr login page,0
Clicking 'Submit' produces a report for each encounter in the date range and shows patient demographics and insurance information as well as the billing codes and amounts.,clicking submit produces a report for each encounter in the date range and shows patient demographics and insurance information as well as the billing codes and amounts,0
The standard specified in 170.207a1 or at a minimum the version of the standard specified in 170.207a2,the standard specified in 170207a1 or at a minimum the version of the standard specified in 170207a2,1
1 For purposes of calculating EP patient volume a Medicaid encounter means services rendered to an individual on any one day where,1 for purposes of calculating ep patient volume a medicaid encounter means services rendered to an individual on any one day where,0
If this is your first time logging in to OpenEMR it is recommended that you change your password to something more secure.,if this is your first time logging in to openemr it is recommended that you change your password to something more secure,1
Certified EHR Technology means,certified ehr technology means,0
The solution should provide formulary building and maintenance with ease of use.,the solution should provide formulary building and maintenance with ease of use,1
3.2.2.5 Logging.,3225 logging,0
Anything that is a valid field in data format 6.4 should be accepted as a column.,anything that is a valid field in data format 64 should be accepted as a column,1
The HCP chooses Potential Prescription-Renewals and is presented with a list of patients that satisfy all of the three conditions 1 patients for whom the HCP is a DLHCP 2 special-diagnosis-history patients 3 patients whose prescriptions will expire within 7 days including the 7th day from the current date.,the hcp chooses potential prescriptionrenewals and is presented with a list of patients that satisfy all of the three conditions 1 patients for whom the hcp is a dlhcp 2 specialdiagnosishistory patients 3 patients whose prescriptions will expire within 7 days including the 7th day from the current date,1
Covered entities as defined in 160.103 of this subchapter must comply with the applicable requirements of this part.,covered entities as defined in 160103 of this subchapter must comply with the applicable requirements of this part,0
v To protect the confidentiality integrity and availability of health information stored and exchanged and,v to protect the confidentiality integrity and availability of health information stored and exchanged and,1
The system has the capability to purge or archive lab orders.,the system has the capability to purge or archive lab orders,0
This description must address the following,this description must address the following,0
For example an eligible hospital that is excluded from one of the objectives in paragraph g of this section must meet four and not five objectives of the hospitals choice from such paragraph to meet the definition of a meaningful EHR user.,for example an eligible hospital that is excluded from one of the objectives in paragraph g of this section must meet four and not five objectives of the hospitals choice from such paragraph to meet the definition of a meaningful ehr user,1
Solution shall be segmented into three layers separating at a minimum the Presentation Application or Business Logic and Data Persistence or Database layers.,solution shall be segmented into three layers separating at a minimum the presentation application or business logic and data persistence or database layers,1
ii Measure.,ii measure,0
The system has the capability to document patient problems medications medication reconciliation and allergies or ADRs in the EHR which provides the ability to manage each of these list-types.,the system has the capability to document patient problems medications medication reconciliation and allergies or adrs in the ehr which provides the ability to manage each of these listtypes,0
